상품코드,상품명,중분류코드,분류경로,소분류코드,소분류명,유통기한(일),판매가,원가(추정)
8809253649538,24del)디카페인340ml,045,,,,,,
8800244140034,24del)리치실론티500ml,045,,,,,,
8802774001359,24del)복숭아아이스티340,045,,,,,,
8808024033354,24del)블랙아메리카노340,045,,,,,,
8809253649484,24del)블루레몬에이드340,045,,,,,,
8808024033392,24del)스윗아메리카노340,045,,,,,,
8802774001465,24del)청매실사과블렌디드,045,,,,,,
8809253649507,24del)청포도에이드340ml,045,,,,,,
8805489003946,24del)캐러멜라떼340ml,045,,,,,,
8808024033439,24del)콜드브루340ml,045,,,,,,
8800244140010,24del)키위과즙에이드340,045,,,,,,
8802774003223,25del)라임모히또에이드,045,,,,,,
8808024050467,25del)블랙마티니340ml,045,,,,,,
8800244141512,25del)블랙아메리카노340,045,,,,,,
8808024050481,25del)스윗마티니340ml,045,,,,,,
8808024050405,25del)캐러멜라떼340ml,045,,,,,,
8802774003247,25del)피나콜라다에이드,045,,,,,,
8809184805607,BP)망고에이드230ml,045,,,,,,
8800244141246,BP)뱅쇼에이드230ml,045,,,,,,
8809184805591,BP)청포도에이드230ml,045,,,,,,
8801392130069,CJ)얼티브프로틴로얄밀크,047,,,,,,
8801392130045,CJ)얼티브프로틴피스타치,047,,,,,,
8809495078301,HDEX)퍼포먼스체리라임500,040,,,,,,
8801069421575,HEYROO디카페인아메리카노,042,,,,,,
8801069421582,HEYROO로어슈거카페라떼,042,,,,,,
8801069422213,HEYROO초코프렌즈500ml,047,,,,,,
8809422041125,HK)새싹보리P500ml,043,,,,,,
8809422046106,HK)새싹보리블랙P500ml,043,,,,,,
8809422045109,HK)스파클링복숭아캔355,044,,,,,,
8809422045116,HK)스파클링애플캔355,044,,,,,,
8809422045932,HK)티로그자두홍차P500,043,,,,,,
8809422045925,HK)티로그청포도홍차P500,043,,,,,,
8801007171210,HK)헛개수P500ml,043,,,,,,
8809422041729,HK)헛개수이엑스P500ml,043,,,,,,
8801069422664,PBICK)아메리카노320ml,042,,,,,,
8801128307222,hy)쉼로즈힙230ml,046,,,,,,
8801128243193,hy)포레스트쉼230ml,046,,,,,,
8007885200121,갈바니나)라임탄산수P500m,041,,,,,,
8007885200138,갈바니나)레몬탄산수P500m,041,,,,,,
8800261880029,건사)레몬스파클링P500ml,044,,,,,,
8800261880012,건사)유자스파클링P500ml,044,,,,,,
8806002020174,광동)밀싹보리차P500ml,043,,,,,,
8806002023991,광동)비타500제로스파클링,040,,,,,,
8806002010977,광동)비타500캔240ml,040,,,,,,
8806002023397,광동)썬키스트오렌지P600,044,,,,,,
8806002023410,광동)썬키스트제로자두600,044,,,,,,
8808244101109,광동)제주삼다수그린500ml,041,,,,,,
8806002020334,광동)헛개차골드라벨500ml,043,,,,,,
8802255100403,그래미)여명1004캔140ml,040,,,,,,
2200000046864,남)요구르트낱개,046,,,,,,
8801069415567,남양)로스터바닐라320ml,042,,,,,,
8801069415550,남양)로스터에스프레320ml,042,,,,,,
8801069421780,남양)마시는한끼밤맛200,040,,,,,,
8801069421803,남양)마시는한끼인절미200,040,,,,,,
