상품코드,상품명,중분류,유통기한(일),발주단위수량,발주단위명,케이스수량,리드타임(일),대분류,소분류코드,소분류명,클래스명,판매가,마진율,행사유형,행사명,행사시작,행사종료,발주상태,발주가능요일,수집일시,갱신일시
8809844304273,엠즈)한손에피스타치오,014,,1,낱개,1,1,11,037,냉장디저트,빵/떡/디저트 > 디저트 > 냉장디저트,,,,,,,,일월화수목금토,2026-03-01T03:54:33.279966,2026-03-04T10:13:52.968309
8809692959595,조이)헤이즐넛타르트,014,,,,,,,,,,,,,,,,,,,
8801068934717,삼립)포켓몬메타몽롤케익,014,0,1,낱개,1,1,11,037,냉장디저트,빵/떡/디저트 > 디저트 > 냉장디저트,3500,,,,,,,일월화수목금토,2026-03-01T03:53:16.480682,2026-03-01T03:53:16.480682
8801753114639,연세)피넛초코생크림빵,014,2,1,낱개,12,1,11,037,냉장디저트,빵/떡/디저트 > 디저트 > 냉장디저트,3500,,,,,,불가,일월화수목금토,2026-03-01T03:53:46.833287,2026-03-01T03:53:46.833287
8809692959410,조이)생딸기사각케이크,014,2,1,낱개,1,1,11,037,냉장디저트,빵/떡/디저트 > 디저트 > 냉장디저트,4800,31.48,,,2026-02-16,2026-02-28,,일월화수목금토,2026-03-03T07:08:42.115758,2026-03-04T10:14:09.061594
8809692959182,조이)생딸기오믈렛,014,2,1,낱개,1,1,11,037,냉장디저트,빵/떡/디저트 > 디저트 > 냉장디저트,4800,31.48,,,2026-02-16,2026-02-28,,일월화수목금토,2026-03-04T07:06:49.546020,2026-03-04T10:14:09.061594
8801121288771,APP)두바이쫀득찹쌀떡,014,3,1,낱개,48,1,11,037,냉장디저트,빵/떡/디저트 > 디저트 > 냉장디저트,3500,,,,,,불가,월화수목금,2026-03-01T03:53:31.717703,2026-03-01T03:53:31.717703
8801753115971,APP)연세치플레생크림빵,014,3,1,낱개,12,1,11,037,냉장디저트,빵/떡/디저트 > 디저트 > 냉장디저트,3600,,,,,,불가,일월화수목금토,2026-03-01T03:53:46.833287,2026-03-04T10:13:52.968309
8809895793866,CYE)깨먹는초코케이크,014,3,1,낱개,20,1,11,037,냉장디저트,빵/떡/디저트 > 디저트 > 냉장디저트,4800,,,,,,불가,일월화수목금토,2026-03-01T03:54:42.640993,2026-03-01T03:54:42.640993
8809692958901,CYE)블랙마카롱,014,3,1,낱개,24,1,11,037,냉장디저트,빵/떡/디저트 > 디저트 > 냉장디저트,3800,,,,,,불가,일월화수목금토,2026-03-01T03:54:33.279966,2026-03-01T03:54:33.279966
