89113:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801771303336 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89114:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8800279679066 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89115:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801068930757 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89116:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801068939101 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89117:2026-04-08 07:21:07 | ERROR    | 4c53b5d6 | src.order.order_executor | [BLOCK/unit-qty] 8800348940455 면)투움바파스타 mid=006 unit=1 qty=1 method=direct_api — 묶음 의심 카테고리 + unit<=1 → 발주 거부 (BGF 실제 입수 불일치 가능)
89118:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801068912913 PYUN_QTY=3 ORD_UNIT_QTY=1 TOT_QTY=3 (need=3) method=direct_api
89119:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801068405545 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89120:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801068912463 PYUN_QTY=2 ORD_UNIT_QTY=1 TOT_QTY=2 (need=2) method=direct_api
89121:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801068938777 PYUN_QTY=2 ORD_UNIT_QTY=1 TOT_QTY=2 (need=2) method=direct_api
89122:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8809895799004 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89123:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8809895798366 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89124:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801068405576 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89125:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801068086225 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89126:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8809895797703 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89127:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8809895795303 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89128:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8809486993101 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89129:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801068939415 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89130:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801068938845 PYUN_QTY=1 ORD_UNIT_QTY=5 TOT_QTY=5 (need=5) method=direct_api
89131:2026-04-08 07:21:07 | ERROR    | 4c53b5d6 | src.order.order_executor | [BLOCK/unit-qty] 8801753108775 연세)초코생크림빵 mid=014 unit=1 qty=1 method=direct_api — 묶음 의심 카테고리 + unit<=1 → 발주 거부 (BGF 실제 입수 불일치 가능)
89132:2026-04-08 07:21:07 | ERROR    | 4c53b5d6 | src.order.order_executor | [BLOCK/unit-qty] 8801753108478 연세)우유생크림빵 mid=014 unit=1 qty=1 method=direct_api — 묶음 의심 카테고리 + unit<=1 → 발주 거부 (BGF 실제 입수 불일치 가능)
89133:2026-04-08 07:21:07 | ERROR    | 4c53b5d6 | src.order.order_executor | [BLOCK/unit-qty] 8801753116268 연세)딸기크림맘모스 mid=014 unit=1 qty=1 method=direct_api — 묶음 의심 카테고리 + unit<=1 → 발주 거부 (BGF 실제 입수 불일치 가능)
89134:2026-04-08 07:21:07 | ERROR    | 4c53b5d6 | src.order.order_executor | [BLOCK/unit-qty] 8801121288764 유라가)두바이쫀득찹쌀떡 mid=014 unit=1 qty=1 method=direct_api — 묶음 의심 카테고리 + unit<=1 → 발주 거부 (BGF 실제 입수 불일치 가능)
89135:2026-04-08 07:21:07 | ERROR    | 4c53b5d6 | src.order.order_executor | [BLOCK/unit-qty] 8809523625439 참조은)두바이쫀득초코 mid=014 unit=1 qty=1 method=direct_api — 묶음 의심 카테고리 + unit<=1 → 발주 거부 (BGF 실제 입수 불일치 가능)
89136:2026-04-08 07:21:07 | ERROR    | 4c53b5d6 | src.order.order_executor | [BLOCK/unit-qty] 8807999037497 대두)한입딸기우유찰떡 mid=014 unit=1 qty=1 method=direct_api — 묶음 의심 카테고리 + unit<=1 → 발주 거부 (BGF 실제 입수 불일치 가능)
89137:2026-04-08 07:21:07 | ERROR    | 4c53b5d6 | src.order.order_executor | [BLOCK/unit-qty] 8801753115612 연세)말차초코생크림빵 mid=014 unit=1 qty=1 method=direct_api — 묶음 의심 카테고리 + unit<=1 → 발주 거부 (BGF 실제 입수 불일치 가능)
89138:2026-04-08 07:21:07 | ERROR    | 4c53b5d6 | src.order.order_executor | [BLOCK/unit-qty] 8801111917421 크라운)산도딸기 mid=015 unit=1 qty=3 method=direct_api — 묶음 의심 카테고리 + unit<=1 → 발주 거부 (BGF 실제 입수 불일치 가능)
89139:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8809350321900 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89140:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801068922738 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89141:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801007034980 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89142:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801155834616 PYUN_QTY=1 ORD_UNIT_QTY=5 TOT_QTY=5 (need=5) method=direct_api
89143:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801047224341 PYUN_QTY=1 ORD_UNIT_QTY=3 TOT_QTY=3 (need=3) method=direct_api
89144:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801073112278 PYUN_QTY=1 ORD_UNIT_QTY=16 TOT_QTY=16 (need=16) method=direct_api
89145:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801045857107 PYUN_QTY=1 ORD_UNIT_QTY=12 TOT_QTY=12 (need=12) method=direct_api
89146:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801045522678 PYUN_QTY=1 ORD_UNIT_QTY=4 TOT_QTY=4 (need=4) method=direct_api
89147:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801043015226 PYUN_QTY=1 ORD_UNIT_QTY=5 TOT_QTY=5 (need=3) method=direct_api
89148:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801045892344 PYUN_QTY=2 ORD_UNIT_QTY=1 TOT_QTY=2 (need=2) method=direct_api
89149:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8809015115455 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89150:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8809015115448 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89151:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8809015115424 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89152:2026-04-08 07:21:07 | ERROR    | 4c53b5d6 | src.order.order_executor | [BLOCK/unit-qty] 8801121043561 매일)피크닉사과240ml mid=039 unit=1 qty=3 method=direct_api — 묶음 의심 카테고리 + unit<=1 → 발주 거부 (BGF 실제 입수 불일치 가능)
89153:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8806371360352 PYUN_QTY=2 ORD_UNIT_QTY=1 TOT_QTY=2 (need=2) method=direct_api
89154:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801115139836 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89155:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801104666176 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89156:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8809520491587 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89157:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 0000088002798 PYUN_QTY=2 ORD_UNIT_QTY=4 TOT_QTY=8 (need=8) method=direct_api
89158:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8809846901548 PYUN_QTY=3 ORD_UNIT_QTY=1 TOT_QTY=3 (need=3) method=direct_api
